/playlist?id=2829883282,[华语私人订制] 你爱的华语好歌都在这儿,7697万,网易云音乐
/playlist?id=3021087157,熬过无人问津的日子才有诗和远方,24万,爱听歌的狗大叔
/playlist?id=3030143834,起风是会飞的想念,56656,索尼音乐娱乐
/playlist?id=2958537532,奈何听到的每首歌里，都有你的影子,211万,Tataaaaaaa_
/playlist?id=3000814267,我不想遇见更好的人 我只想要你,295万,流年忧光影
/playlist?id=2482210411,那些听一遍就喜欢的歌,1049万,欢欢酱-
/playlist?id=2802123923,『200首好听的翻唱』 持续更新......,657万,爱吃肉的柚子君
/playlist?id=2602222983,精选 | 网络热歌分享,27506万,情感文字君
/playlist?id=2314050294,低沉男嗓，治愈男声♥,72万,子游tree
/playlist?id=2232237850,耳朵喜欢你 好听到可以单曲循环,12805万,鹿白川
/playlist?id=2935655780,了解【中国乐队】，可以从他们开始。,138万,完美的灵魂
/playlist?id=2672366833,玩游戏必备的战歌,57万,依白小哥哥
/playlist?id=2638384261,精选超好听吉他弹唱（Cover流行 ）,125万,冬日温暖的光
/playlist?id=2786335966,沈以诚/焦迈奇/徐秉龙/刘思鉴,105万,一条小团团OvO游戏视频分享
/playlist?id=2613384244,要和Rapper谈恋爱｜国语情歌说唱,142万,BoredTeenager_
/playlist?id=2335673654,隔壁老樊/枯木逢春/解忧邵帅/尚士达/颜人中,2836万,小攀哟
/playlist?id=2829137850,Vol . 51 「旋 律 说 唱」,172万,FlyingClub
/playlist?id=2438292020,听说你也在找好听的华语歌,12760万,鹿白川
/playlist?id=2547965074,写作业必备(学霸刷题)中文安静,45万,kuriko1706
/playlist?id=2332153273,喜欢的民谣一次听个够,449万,一颗小芸豆i
/playlist?id=2816423152,你是可爱的小朋友 值得遇到最好的人,655万,mayuko然
/playlist?id=2492649142,戴上耳机感受女说唱,56万,反刑
/playlist?id=2303788974,说唱 别急甜甜的恋爱马上就轮到你了哦,306万,百分之七十一的月亮
/playlist?id=2918766270,国产HIPHOP 这一个歌单就够了,61万,一泽万Easyone
/playlist?id=2645509561,男生的温柔侵入心底 珊瑚长出海面伸向月亮,971万,雨夜出逃
/playlist?id=2737427678,『民谣控』如此恋恋不舍,215万,坐标原点163
/playlist?id=2331414535,房东的猫 陈粒 jam陈雪凝 谢春花 歌曲合集,5733万,迁徙H
/playlist?id=2362006321,适合画画肝作业时听的歌,2285万,chaz1
/playlist?id=2353471182,攒了一大堆好听的歌想和你一起听,8197万,鹿白川
/playlist?id=2239349364,徐秉龙♡沈以诚♡余佳运♡焦迈奇♡郭顶,225万,双木林的脑斧
/playlist?id=2700714265,忍者时代即将结束,61万,ARG-颜兮惜-GG
/playlist?id=2438766714,rapper说情话 问你怕不怕,56万,野鬼不谈爱
/playlist?id=2206285273,民谣里的故事再无她！,239万,小贰哥吖
/playlist?id=2478857774,砍死法老-中国说唱硬核之王,292万,说唱菌
/playlist?id=2326027139,抖音精选热播bgm（歌曲最新）,125万,-凤九
/playlist?id=2634567489,英式摇滚|国人如此演绎英伦风,156万,intropinrevivan
/playlist?id=2709514173,你会爱上这个流行华语歌单,3197万,暧酱酱
/playlist?id=2801920361,丧气说唱：自由的灵魂时而在人群里消沉,60万,一生向海
/playlist?id=2526611776,不如来一盒草莓味的HipHop巧克力！,178万,鮭魚先森
/playlist?id=2765579776,「民谣」边走边唱如诗如歌如理想,600万,情思天鹅
/playlist?id=2430524968,别急，甜甜的恋爱马上就轮到你了,4867万,名侦探-柯北
/playlist?id=2872929242,Fox福克斯-中国风说唱王者,52万,说唱菌
/playlist?id=2352182918,改编自流行音乐的说唱remix,64万,鮭魚先森
/playlist?id=2882042971,迷人嗓音/Wink～随机播放带来惊喜,95万,今晚磕到死
/playlist?id=2748205282,隔壁老樊 解忧邵帅,720万,我让他溺海生亡i
/playlist?id=2474537199,"若是心怀旧梦 就别再无疾而终",2173万,与你赴海
/playlist?id=2499450761,法老 中国最有梗rapper.,97万,周星驰接班人
/playlist?id=2387182880,民谣像酒有故事的人不能听,189万,苗苗啊啊啊啊
/playlist?id=2444798599,世上为什么有NINEONE那样酷的女孩,170万,歪歪T先森
/playlist?id=2215088613,不能拒绝的翻唱,593万,yesloser
/playlist?id=2806641770,一别两宽 各自安好,322万,电音陌
/playlist?id=2899768194,精选｜Cover翻唱百听不腻,568万,情感文字君
/playlist?id=2818021270,隔壁老樊 尚six 花粥 王贰浪 枯木逢春,190万,z林柒
/playlist?id=2440498598,听rapper说情话,786万,超喜欢冬天
/playlist?id=2564404001,愿每个孤独的人 都有属于自己的歌,850万,YouTube视频推荐
/playlist?id=2656091064,『你听过她的故事吗』,81万,麦田ou
/playlist?id=2768622379,感性说唱丨人类的悲欢并不相通,137万,原创君
/playlist?id=2649015729,渣男语录*渣女语录,59万,零無可
/playlist?id=2524133919,这一秒只想在爱里沉溺 .,189万,林衍_
/playlist?id=2474780902,留给孤独的人 留给那个少年 留给爱情,326万,木兮180915
/playlist?id=2324451155,华语民谣丨治愈孤独患者的暖心民谣歌单,4407万,小攀哟
/playlist?id=2820377906,『我把自由还给你了 你把快乐还给我吧』,522万,做个爱笑的大男孩
/playlist?id=2713321147,我多想 能多陪你一场 把前半生的风景对你讲,304万,希望我能成为你的月亮
/playlist?id=2689902290,♥︎ 超 甜 rap 想 和 你 坠 入 爱 河 ♥︎,381万,站在月亮上的少女
/playlist?id=2715933347,精选｜Cover的那些循环歌曲,3132万,情感文字君
/playlist?id=2647184445,民谣丨有一种不安分长在骨子里 流在血液里,499万,原创君
/playlist?id=2779796218,这些歌设置过单曲循环,588万,情感文字君
/playlist?id=2711754983,华语民谣大合辑：一人一首代表作,212万,一生向海
/playlist?id=2796821320,网络热播的那些神仙声音（持续更新）,1698万,情感文字君
/playlist?id=2771839415,隔壁老樊与解忧邵帅,110万,小道先森
/playlist?id=2458146337,『民谣三千』小众民谣，治愈你的忧伤,78万,曾令彪工作室
/playlist?id=2793527714,人言可畏，想拥抱一个为我捂住耳朵的人,781万,mayuko然
/playlist?id=2873969666,耳朵喜欢到不敢单曲循环,148万,雪江南酱
/playlist?id=2454417037,嘻哈糖果/上帝啊 这些Rapper情话犯规了,398万,LilDragon小龙
/playlist?id=2472461443,『Rapper情话』我有一个恋爱想和你谈,431万,茉瑾年
/playlist?id=2585107949,「女声rap」谁还不是可盐可甜的小姐姐了？,615万,原创君
/playlist?id=2946817834,诗与歌丨诗化音乐的敏锐浪漫,154万,原创君
/playlist?id=2312165875,100首华语民谣，因为懂得才有共鸣,2000万,情思天鹅
/playlist?id=2972160851,国风说唱：江湖风起，侠客将远行,165万,一生向海
/playlist?id=2484843965,【情歌RAP】我 喜 欢 的 样 子 你 都 有,89万,小攻举lll
/playlist?id=2511693307,【国风电音】不止温文儒雅（燃）,88万,李化禹
/playlist?id=2956897030,自我拉扯丨我怎么会有这么多内心戏,278万,原创君
/playlist?id=2852446396,民 谣 | 让你感受百态人生 （持续更新）,394万,飞行棋的猫mor
/playlist?id=2748990852,你要安静的优秀，悄无声息的坚强,559万,爱听歌的狗大叔
/playlist?id=2894550157,甜味歌单丨尝一口这颗夏天的气泡糖,251万,原创君
/playlist?id=2843176459,中国新说唱第二季2019【全收录】,739万,Ben-Rocky
/playlist?id=2489237233,“我不是单身，只是在等人”,519万,GNC顾念晨
/playlist?id=2611049812,民谣 |岁月缱绻时光，愿你依旧从前模样,360万,夕日向暖
